show_name,key_creatives,network,studio,date,genre,subgenre,episode_count,source_type,status,order_type,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clone High,"Phil Lord (w, ep), Chris Miller (w, ep), Bill Lawrence (ep), Erica Rivinoja (ep)",HBO,MTV Entertainment Studios,2021-01-01,Comedy,,,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer School,,HBO,,2021-01-01,Comedy,,,Original,,,A recent high school grad and his uncle attend the same computer class in suburban Michigan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conversations with Friends,"Sally Rooney (ep), Ed Guiney (ep), Andrew Lowe, Emma Norton, Rose Garnett Tommy Bulfin (ep), Alice Birch (w), Lenny Abrahamson (d), Catherine Magee (p)",Hulu,Element Pictures,2021-01-01,Drama,,,Original,,,"Two female college students in Dublin forge an unexpected, strange and sexually charged relationship with an older married couple, which results in a complicated pair of love triangles that upends their lives.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coyote,"Michael Carnes (w, ep), Josh Gilbert (w, ep), David Graziano (ep, sr), Michael Chiklis (ep), Michelle MacLaren (d, ep), Mike Richardson (ep), Keith Goldberg (ep), Rebecca Hobbs (ep)",Paramount+,"MacLaren Entertainment, Dark Horse Entertainment, Sony Pictures Television",2021-01-01,Drama,,,Original,,,"The story of Ben Clemens, who, after 32 years as a border patrol agent, is forced to work for the very people he spent his career trying to keep out of America. Now exposed to life on the other side of the wall, Ben will start to question his black-and-white views of the world, challenging his ideology and his loyalties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Role: The Legend of Vox Machina,"Laura Bailey, Taliesin Jaffe, Ashley Johnson, Liam O'Brien, Matthew Mercer",Prime Video,Amazon Studios,2021-01-01,Animation,Fantasy,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruel Intentions,"Phoebe Fisher, Sara Goodman, Catherine Hook, Zac Burgess, Myra Molloy, Khobe Clarke, Brooke Lena Johnson, Sara Silva, Sean Patrick Thomas, John Harlan Kim",Prime Video,Sony Pictures Television,2023-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culprits,"J Blakeson (w, d, ep), Stephen Garrett (ep), Johanna Devereaux (ep), Morenike Williams (p)",Paramount+,Character 7,2023-01-01,Drama,,,Original,,,"Follows what happens after a heist, when the crew have gone their separate ways but are being targeted by a killer one-by-one.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daddy Ball,"Jason Bateman, Michael Costigan, Roxie Rodrigu, David Klawans",Netflix,Aggregate Films,2023-01-01,Comedy,,,Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daisy Jones & the Six,"Will Graham, Scott Neustadter, Michael Weber, Reese Witherspoon, Lauren Neustadter",Prime Video,Amazon Studios,2021-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage,"Morgan Lloyd-Malcolm (Writer, Executive Producer), Benji Walters (Writer, Executive Producer), Matthew Read (Executive Producer), Frith Triplady (Executive Producer), Alison Jackson (Executive Producer), Glenn Leyburn (Director), Lisa Barros D'Sa (Director), Gina Carter (Producer)",Netflix,Gaumont Television,2023-01-01,Drama,,3,Book,,Limited,"A dangerous love triangle emerges when the enigmatic Anna Barton embarks on a passionate affair with her fiancé ’s father, William. Whilst Anna fights to sustain both relationships, William is drawn into an obsessive spiral.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
