show_name,name,roles,order,notes
Devil in Ohio,Andrew Wilder,,3,No role specified in original data
Devil in Ohio,Ian Hay,,4,No role specified in original data
Devil in Ohio,John Fawcett,,5,No role specified in original data
Devil in Ohio,Brad Anderson,,6,No role specified in original data
Devil in Ohio,Leslie Hope,,7,No role specified in original data
Devil in Ohio,Steve Adelson,,8,No role specified in original data
Diarra from Detroit,Diarra Kilpatrick,,1,No role specified in original data
Diarra from Detroit,Diarra Kilpatrick,,2,No role specified in original data
Disclaimer,Alfonso Cuarón,,1,No role specified in original data
Disclaimer,Cate Blanchett,,2,No role specified in original data
Disclaimer,Gabriela Rodriguez,,3,No role specified in original data
Disclaimer,David Levine,,4,No role specified in original data
Disclaimer,Dawn Olmstea,,5,No role specified in original data
Disclaimer,Steve Golin,,6,No role specified in original data
Disclaimer,Emmanuel Lubezki,,7,No role specified in original data
Disclaimer,Bruno Delbonnel,,8,No role specified in original data
Disclaimer,Renee Knight,,9,No role specified in original data
DMZ,Ava DuVernay,"d, ep",1,
DMZ,Roberto Patino,"w, ep, sr",2,
Doc,Barbie Kligman,,1,No role specified in original data
Doc,Hank Steinberg,,2,No role specified in original data
Doctor Odyssey,Ryan Murphy,,1,No role specified in original data
Doctor Odyssey,Joshua Jackson,,2,No role specified in original data
Doogie Kameāloha M.D.,Kourtney Kang,"w, ep",1,
Doogie Kameāloha M.D.,Jake Kasdan,ep,2,
Doogie Kameāloha M.D.,Melvin Mar,ep,3,
Doogie Kameāloha M.D.,Dayna Bochco,p,4,
Doogie Kameāloha M.D.,Jesse Bochco,p,5,
Dune: The Sisterhood,Diane Ademu-John,"w, ep",1,
Dune: The Sisterhood,Alison Schapker,"ep, sr",2,
Dune: The Sisterhood,Denis Villeneuve,"d, ep",3,
Dune: The Sisterhood,Jon Spaihts,ep,4,
Dune: The Sisterhood,Scott Z. Burns,ep,5,
Dune: The Sisterhood,Matthew King,ep,6,
Dune: The Sisterhood,John Cameron,ep,7,
Dune: The Sisterhood,Mark Tobey,ep,8,
Dune: The Sisterhood,Jordan Goldberg,ep,9,
Dune: The Sisterhood,Brian Herbert,ep,10,
Dune: The Sisterhood,Kim Herbert,ep,11,
Dune: The Sisterhood,Anna Foerster,d,12,
Dune: The Sisterhood,Kevin J. Anderson,co-p,13,
Dungeons & Dragons,Rawson Marshall Thurber,,1,No role specified in original data
Duster,J.J. Abrams and LaToya Morgan,,1,No role specified in original data
East New York,William Finkelstein,"w, ep",1,
East New York,Mike Flynn,"w, ep",2,
East New York,Mike Robin,ep,3,
East New York,Mark Holder,ep,4,
East New York,Christine Holder,ep,5,
Echo 3,Mark Boal,,1,No role specified in original data
Echo 3,Jason Horwitch,,2,No role specified in original data
Echo 3,Peter Traugott,,3,No role specified in original data
Echo 3,Stan Wlodkowski,,4,No role specified in original data
Echo 3,Omri Givon,,5,No role specified in original data
Echo 3,Eitan Mansuri,,6,No role specified in original data
Echo 3,Jonathan Doweck,,7,No role specified in original data
Echo 3,Avi Nir,,8,No role specified in original data
Echo 3,Alon Shtruzman,,9,No role specified in original data
Echo 3,Karni Ziv,,10,No role specified in original data
Echoes,Vanessa Gazy,,1,No role specified in original data
Echoes,Brian Yorkey,,2,No role specified in original data
Echoes,Quinton Peeples,,3,No role specified in original data
Echoes,Imogen Banks,,4,No role specified in original data
English Teacher,Brian Jordan Alvarez,,1,No role specified in original data
English Teacher,Paul Simms,,2,No role specified in original data
Epic,Eddy Kitsis,"w, ep, sr",1,
Epic,Brigitte Hales,ep,2,
ÉTOILE,Amy Sherman-Palladino,,1,No role specified in original data
ÉTOILE,Daniel Palladino,,2,No role specified in original data
ÉTOILE,Dhana Rivera Gilbert,,3,No role specified in original data
ÉTOILE,Scott Ellis,,4,No role specified in original data
ÉTOILE,Luke Kirby,,5,No role specified in original data
ÉTOILE,Gideon Glick,,6,No role specified in original data
ÉTOILE,Camille Cottin,,7,No role specified in original data
ÉTOILE,Simon Callow,,8,No role specified in original data
ÉTOILE,Lou de Laâge,,9,No role specified in original data
ÉTOILE,David Alvarez,,10,No role specified in original data
Expats,Alice Bell,,1,No role specified in original data
Expats,Lulu Wang,,2,No role specified in original data
